,lat,lon,ï»¿dt,count
2017-01-03 20:49:00,27.667783669000002,-83.32059433499998,2017-01-03 20:49:00,1.0
2017-01-03 21:49:00,27.666961833999995,-83.32084266799998,2017-01-03 21:49:00,1.0
2017-01-03 22:01:00,27.666752333999995,-83.32114366799999,2017-01-03 22:01:00,1.0
2017-01-03 22:09:00,27.666542833999994,-83.32144466799998,2017-01-03 22:09:00,1.0
2017-01-04 01:13:00,27.662992219333326,-83.32974533333334,2017-01-04 01:13:00,1.0
2017-01-04 01:21:00,27.663065108666657,-83.33063366666666,2017-01-04 01:21:00,1.0
2017-01-04 09:49:00,27.653764558,-83.35253499933333,2017-01-04 09:49:00,1.0
2017-01-04 09:57:00,27.65250978,-83.35445533266666,2017-01-04 09:57:00,1.0
2017-01-04 17:45:00,27.641900777999997,-83.37442699933334,2017-01-04 17:45:00,2.0
2017-01-04 17:57:00,27.641584222,-83.37615833266668,2017-01-04 17:57:00,1.0
2017-01-04 19:41:00,27.640710466799998,-83.3808793,2017-01-04 19:41:00,1.0
2017-01-04 20:01:00,27.640637933599997,-83.3813856,2017-01-04 20:01:00,1.0
2017-01-04 20:13:00,27.6405654004,-83.3818919,2017-01-04 20:13:00,4.0
2017-01-04 20:17:00,27.6404928672,-83.3823982,2017-01-04 20:17:00,4.0
2017-01-04 20:21:00,27.640420333999998,-83.3829045,2017-01-04 20:21:00,3.0
2017-01-04 20:25:00,27.640347800799997,-83.38341080000001,2017-01-04 20:25:00,5.0
2017-01-04 20:33:00,27.640275267599996,-83.3839171,2017-01-04 20:33:00,1.0
2017-01-04 20:41:00,27.6402027344,-83.3844234,2017-01-04 20:41:00,1.0
2017-01-04 20:49:00,27.640130201199998,-83.3849297,2017-01-04 20:49:00,1.0
2017-01-05 21:29:00,27.657539135111115,-83.45999982785187,2017-01-05 21:29:00,1.0
2017-01-05 21:37:00,27.657618604222225,-83.46015432170373,2017-01-05 21:37:00,3.0
2017-01-05 21:41:00,27.65769807333334,-83.46030881555558,2017-01-05 21:41:00,1.0
2017-01-05 21:45:00,27.65777754244445,-83.46046330940743,2017-01-05 21:45:00,2.0
2017-01-05 21:49:00,27.65785701155556,-83.46061780325928,2017-01-05 21:49:00,3.0
2017-01-05 21:53:00,27.65793648066667,-83.46077229711113,2017-01-05 21:53:00,1.0
2017-01-05 21:57:00,27.658015949777784,-83.46092679096299,2017-01-05 21:57:00,1.0
2017-01-05 22:05:00,27.658095418888895,-83.46108128481484,2017-01-05 22:05:00,4.0
2017-01-05 22:09:00,27.658174888000005,-83.46123577866669,2017-01-05 22:09:00,2.0
2017-01-05 22:13:00,27.658254357111115,-83.46139027251854,2017-01-05 22:13:00,1.0
2017-01-05 22:17:00,27.658333826222226,-83.4615447663704,2017-01-05 22:17:00,3.0
2017-01-05 22:21:00,27.65841329533334,-83.46169926022225,2017-01-05 22:21:00,1.0
2017-01-05 22:25:00,27.65849276444445,-83.4618537540741,2017-01-05 22:25:00,2.0
2017-01-05 22:29:00,27.65857223355556,-83.46200824792595,2017-01-05 22:29:00,2.0
2017-01-05 22:33:00,27.65865170266667,-83.4621627417778,2017-01-05 22:33:00,4.0
2017-01-05 22:37:00,27.658731171777784,-83.46231723562965,2017-01-05 22:37:00,2.0
2017-01-05 22:41:00,27.658810640888895,-83.4624717294815,2017-01-05 22:41:00,1.0
2017-01-05 22:45:00,27.658890110000005,-83.46262622333336,2017-01-05 22:45:00,1.0
2017-01-05 22:57:00,27.658969579111115,-83.46278071718521,2017-01-05 22:57:00,1.0
2017-01-05 23:01:00,27.659049048222226,-83.46293521103706,2017-01-05 23:01:00,3.0
2017-01-05 23:05:00,27.65912851733334,-83.46308970488892,2017-01-05 23:05:00,2.0
2017-01-05 23:09:00,27.65920798644445,-83.46324419874077,2017-01-05 23:09:00,1.0
2017-01-05 23:13:00,27.65928745555556,-83.46339869259262,2017-01-05 23:13:00,1.0
2017-01-05 23:17:00,27.65936692466667,-83.46355318644447,2017-01-05 23:17:00,1.0
2017-01-05 23:25:00,27.659446393777785,-83.46370768029632,2017-01-05 23:25:00,1.0
2017-01-05 23:53:00,27.659525862888895,-83.46386217414818,2017-01-05 23:53:00,2.0
2017-01-06 02:13:00,27.660831998000006,-83.47092050100002,2017-01-06 02:13:00,1.0
2017-01-06 03:29:00,27.663546617714285,-83.47912704828576,2017-01-06 03:29:00,3.0
2017-01-06 03:33:00,27.664090903428573,-83.47985876257147,2017-01-06 03:33:00,3.0
2017-01-06 03:37:00,27.664635189142857,-83.48059047685719,2017-01-06 03:37:00,2.0
2017-01-06 03:57:00,27.665179474857144,-83.4813221911429,2017-01-06 03:57:00,1.0
2017-01-06 04:45:00,27.665723760571428,-83.48205390542861,2017-01-06 04:45:00,2.0
2017-01-06 04:49:00,27.666268046285715,-83.48278561971432,2017-01-06 04:49:00,1.0
2017-01-06 07:33:00,27.671577166,-83.48657050000006,2017-01-06 07:33:00,1.0
2017-01-06 07:37:00,27.672579665999997,-83.48718400000006,2017-01-06 07:37:00,1.0
2017-01-06 08:37:00,27.673582166,-83.48779750000006,2017-01-06 08:37:00,1.0
2017-01-06 14:57:00,27.690004999999996,-83.49913516800004,2017-01-06 14:57:00,1.0
2017-01-06 15:49:00,27.694501215764706,-83.50530549223534,2017-01-06 15:49:00,2.0
2017-01-06 16:01:00,27.69476743152941,-83.50554098247062,2017-01-06 16:01:00,2.0
2017-01-06 16:05:00,27.695033647294117,-83.50577647270592,2017-01-06 16:05:00,1.0
2017-01-06 16:21:00,27.69529986305882,-83.50601196294122,2017-01-06 16:21:00,1.0
2017-01-06 16:29:00,27.69556607882353,-83.50624745317651,2017-01-06 16:29:00,1.0
2017-01-06 16:45:00,27.695832294588236,-83.5064829434118,2017-01-06 16:45:00,1.0
2017-01-06 16:49:00,27.69609851035294,-83.5067184336471,2017-01-06 16:49:00,1.0
2017-01-06 17:05:00,27.696364726117647,-83.50695392388239,2017-01-06 17:05:00,2.0
2017-01-06 17:09:00,27.69663094188235,-83.50718941411768,2017-01-06 17:09:00,1.0
2017-01-06 17:17:00,27.696897157647058,-83.50742490435297,2017-01-06 17:17:00,6.0
2017-01-06 17:29:00,27.69716337341176,-83.50766039458827,2017-01-06 17:29:00,2.0
2017-01-06 17:37:00,27.69742958917647,-83.50789588482355,2017-01-06 17:37:00,2.0
2017-01-06 17:41:00,27.697695804941176,-83.50813137505885,2017-01-06 17:41:00,1.0
2017-01-06 17:45:00,27.69796202070588,-83.50836686529415,2017-01-06 17:45:00,2.0
2017-01-06 17:53:00,27.698228236470587,-83.50860235552945,2017-01-06 17:53:00,1.0
2017-01-06 17:57:00,27.69849445223529,-83.50883784576473,2017-01-06 17:57:00,1.0
2017-01-06 18:17:00,27.702997275363636,-83.51105483527276,2017-01-06 18:17:00,1.0
2017-01-06 18:29:00,27.703241214727274,-83.51118066854548,2017-01-06 18:29:00,1.0
2017-01-06 18:37:00,27.70348515409091,-83.51130650181821,2017-01-06 18:37:00,1.0
2017-01-06 18:41:00,27.703729093454548,-83.51143233509093,2017-01-06 18:41:00,1.0
2017-01-06 18:49:00,27.703973032818183,-83.51155816836366,2017-01-06 18:49:00,2.0
2017-01-06 18:53:00,27.70421697218182,-83.51168400163638,2017-01-06 18:53:00,1.0
2017-01-06 19:01:00,27.704460911545457,-83.51180983490912,2017-01-06 19:01:00,1.0
2017-01-06 19:13:00,27.704704850909092,-83.51193566818183,2017-01-06 19:13:00,1.0
2017-01-06 19:17:00,27.70494879027273,-83.51206150145457,2017-01-06 19:17:00,1.0
2017-01-06 19:53:00,27.705192729636366,-83.51218733472729,2017-01-06 19:53:00,1.0
2017-01-06 19:57:00,27.705436669,-83.51231316800002,2017-01-06 19:57:00,1.0
2017-01-06 20:01:00,27.70568060836364,-83.51243900127275,2017-01-06 20:01:00,2.0
2017-01-06 20:05:00,27.705924547727275,-83.51256483454547,2017-01-06 20:05:00,2.0
2017-01-06 20:09:00,27.706168487090913,-83.5126906678182,2017-01-06 20:09:00,1.0
2017-01-06 20:13:00,27.70641242645455,-83.51281650109092,2017-01-06 20:13:00,2.0
2017-01-06 20:17:00,27.706656365818187,-83.51294233436366,2017-01-06 20:17:00,4.0
2017-01-06 20:21:00,27.706900305181822,-83.51306816763638,2017-01-06 20:21:00,1.0
2017-01-06 20:25:00,27.707144244545457,-83.51319400090911,2017-01-06 20:25:00,2.0
2017-01-06 20:29:00,27.707388183909096,-83.51331983418183,2017-01-06 20:29:00,1.0
2017-01-06 20:41:00,27.70763212327273,-83.51344566745456,2017-01-06 20:41:00,1.0
2017-01-06 20:45:00,27.70787606263637,-83.51357150072728,2017-01-06 20:45:00,1.0
2017-01-06 21:21:00,27.71389778,-83.51605900000001,2017-01-06 21:21:00,1.0
2017-01-06 21:29:00,27.715394224,-83.51729100000001,2017-01-06 21:29:00,1.0
