tag,datetime,date,time,hour,minute,year,month,type,ours,Species,TL,AG,CG,Cath,Condition,Fate,Comments,Recaptures
15523,19MAY17:22:23:51,05/19/2017,22:23:51,22,23,2017,5,vmt,1,RG,689,F,F,Y,3,,"lot of gas released on incision. Seaqualized @ 50 ft, set it wrong intended to release @ 150ft. 363 cathy.","recaptured 11/11/2016, event 3, site=RG4, fish #18, noticeable surgery scar, pictures on digital camera. Seaqualize release, didn't see release on camera"
15523,19MAY17:22:27:54,05/19/2017,22:27:54,22,27,2017,5,vmt,1,RG,689,F,F,Y,3,,"lot of gas released on incision. Seaqualized @ 50 ft, set it wrong intended to release @ 150ft. 363 cathy.","recaptured 11/11/2016, event 3, site=RG4, fish #18, noticeable surgery scar, pictures on digital camera. Seaqualize release, didn't see release on camera"
15523,19MAY17:22:30:07,05/19/2017,22:30:07,22,30,2017,5,vmt,1,RG,689,F,F,Y,3,,"lot of gas released on incision. Seaqualized @ 50 ft, set it wrong intended to release @ 150ft. 363 cathy.","recaptured 11/11/2016, event 3, site=RG4, fish #18, noticeable surgery scar, pictures on digital camera. Seaqualize release, didn't see release on camera"
15523,19MAY17:22:31:28,05/19/2017,22:31:28,22,31,2017,5,vmt,1,RG,689,F,F,Y,3,,"lot of gas released on incision. Seaqualized @ 50 ft, set it wrong intended to release @ 150ft. 363 cathy.","recaptured 11/11/2016, event 3, site=RG4, fish #18, noticeable surgery scar, pictures on digital camera. Seaqualize release, didn't see release on camera"
15523,03JUN17:22:05:02,06/03/2017,22:05:02,22,5,2017,6,vmt,1,RG,689,F,F,Y,3,,"lot of gas released on incision. Seaqualized @ 50 ft, set it wrong intended to release @ 150ft. 363 cathy.","recaptured 11/11/2016, event 3, site=RG4, fish #18, noticeable surgery scar, pictures on digital camera. Seaqualize release, didn't see release on camera"
15523,03JUN17:22:06:17,06/03/2017,22:06:17,22,6,2017,6,vmt,1,RG,689,F,F,Y,3,,"lot of gas released on incision. Seaqualized @ 50 ft, set it wrong intended to release @ 150ft. 363 cathy.","recaptured 11/11/2016, event 3, site=RG4, fish #18, noticeable surgery scar, pictures on digital camera. Seaqualize release, didn't see release on camera"
15523,03JUN17:22:11:38,06/03/2017,22:11:38,22,11,2017,6,vmt,1,RG,689,F,F,Y,3,,"lot of gas released on incision. Seaqualized @ 50 ft, set it wrong intended to release @ 150ft. 363 cathy.","recaptured 11/11/2016, event 3, site=RG4, fish #18, noticeable surgery scar, pictures on digital camera. Seaqualize release, didn't see release on camera"
15523,03JUN17:22:14:50,06/03/2017,22:14:50,22,14,2017,6,vmt,1,RG,689,F,F,Y,3,,"lot of gas released on incision. Seaqualized @ 50 ft, set it wrong intended to release @ 150ft. 363 cathy.","recaptured 11/11/2016, event 3, site=RG4, fish #18, noticeable surgery scar, pictures on digital camera. Seaqualize release, didn't see release on camera"
15523,03JUN17:22:18:59,06/03/2017,22:18:59,22,18,2017,6,vmt,1,RG,689,F,F,Y,3,,"lot of gas released on incision. Seaqualized @ 50 ft, set it wrong intended to release @ 150ft. 363 cathy.","recaptured 11/11/2016, event 3, site=RG4, fish #18, noticeable surgery scar, pictures on digital camera. Seaqualize release, didn't see release on camera"
15523,03JUN17:22:21:21,06/03/2017,22:21:21,22,21,2017,6,vmt,1,RG,689,F,F,Y,3,,"lot of gas released on incision. Seaqualized @ 50 ft, set it wrong intended to release @ 150ft. 363 cathy.","recaptured 11/11/2016, event 3, site=RG4, fish #18, noticeable surgery scar, pictures on digital camera. Seaqualize release, didn't see release on camera"
15523,03JUN17:22:27:24,06/03/2017,22:27:24,22,27,2017,6,vmt,1,RG,689,F,F,Y,3,,"lot of gas released on incision. Seaqualized @ 50 ft, set it wrong intended to release @ 150ft. 363 cathy.","recaptured 11/11/2016, event 3, site=RG4, fish #18, noticeable surgery scar, pictures on digital camera. Seaqualize release, didn't see release on camera"
15524,03JUN17:21:47:04,06/03/2017,21:47:04,21,47,2017,6,imp,1,RG,473,F,F,Y,2,SS,"hard to tell when it got off seaqualizer, but looked good on way down.","RECAPTURED: 4/1/2017, event 5 fish #25. Dart tag 1136 was broken so put in new dart #1918. Video # 14, good condition. 16:47:50-16:49:28 time on deck"
15524,03JUN17:21:49:26,06/03/2017,21:49:26,21,49,2017,6,vmt,1,RG,473,F,F,Y,2,SS,"hard to tell when it got off seaqualizer, but looked good on way down.","RECAPTURED: 4/1/2017, event 5 fish #25. Dart tag 1136 was broken so put in new dart #1918. Video # 14, good condition. 16:47:50-16:49:28 time on deck"
15525,,,,,,,,imp,,RG,609,F,F,Y,2,SS,"Go pro #2, seaqualized @ 150ft 157 capture depth",
15526,,,,,,,,imp,,RG,,F,F,Y,4,SB,"missed lengths, bigger fish #14. Go pro broke, seaqualized @ 150ft. Poor condition, resting at bottom, laying on its side.","recaptured 11/11/2016, Event 1, site=RG3, fish#8,  no noticeable scarring, quickly seaqualized fish back down to 150ft. Video #5."
15527,,,,,,,,imp,,RG,489,F,F,Y,2,SS,"Go pro pro, seaqualized @ 150ft.",
15532,03JUN17:14:23:12,06/03/2017,14:23:12,14,23,2017,6,imp,1,RG,559,U,U,A,2,SS,"Caught in event 3 but motored and released to coordinates in event 2, RG 2. Feisty in cradle. Urogenital pore really small, no success on catheter.",
15532,03JUN17:14:24:29,06/03/2017,14:24:29,14,24,2017,6,vmt,1,RG,559,U,U,A,2,SS,"Caught in event 3 but motored and released to coordinates in event 2, RG 2. Feisty in cradle. Urogenital pore really small, no success on catheter.",
15532,03JUN17:14:26:00,06/03/2017,14:26:00,14,26,2017,6,vmt,1,RG,559,U,U,A,2,SS,"Caught in event 3 but motored and released to coordinates in event 2, RG 2. Feisty in cradle. Urogenital pore really small, no success on catheter.",
15537,,,,,,,,imp,,RG,645,F,F,A,2,SS,"No dart tag, forgot. Water wasn't working from hose, so didn't have water for awhile, back on at 10:42:51. Drumming. Kicked on the way down. Seaqualized to 150ft.",
15538,04JUN17:21:43:23,06/04/2017,21:43:23,21,43,2017,6,imp,1,RG,532,U,U,N,1,S,drumming. Seaqualized to 150ft.,
15539,,,,,,,,imp,,RG,671,U,U,N,2,S,seaqualized to 150ft.,"Recaptured on 4/18/17, dart tag #1598, sonic tag #15539. seaqualized to 100 ft, video #6. Swam away on camera, fair condition"
15540,,,,,,,,imp,,RG,549,U,U,N,2,S,drumming. Seaqualized to 150ft.,
15541,,,,,,,,imp,,RG,521,U,U,N,,SB,"drumming, feisty after surgery on deck. Accidentally released at 50ft, never saw fish on live camera. Dropped camera to bottom and saw fish lying on the bottom, potentially previous fish?",
15543,03JUN17:04:11:16,06/03/2017,4:11:16,4,11,2017,6,imp,1,RG,425,U,U,N,2,S,"seaqualized to 150ft, Drumming flopping around in cradle",
15543,03JUN17:04:16:22,06/03/2017,4:16:22,4,16,2017,6,vmt,1,RG,425,U,U,N,2,S,"seaqualized to 150ft, Drumming flopping around in cradle",
15543,03JUN17:04:25:50,06/03/2017,4:25:50,4,25,2017,6,vmt,1,RG,425,U,U,N,2,S,"seaqualized to 150ft, Drumming flopping around in cradle",
15543,03JUN17:04:28:21,06/03/2017,4:28:21,4,28,2017,6,vmt,1,RG,425,U,U,N,2,S,"seaqualized to 150ft, Drumming flopping around in cradle",
15543,03JUN17:04:33:04,06/03/2017,4:33:04,4,33,2017,6,vmt,1,RG,425,U,U,N,2,S,"seaqualized to 150ft, Drumming flopping around in cradle",
16065,20MAY17:07:07:03,05/20/2017,7:07:03,7,7,2017,5,imp,1,RG,379,U,U,N,2,S,"Drumming, seaqualized to 100 ft",
16065,20MAY17:07:23:06,05/20/2017,7:23:06,7,23,2017,5,vmt,1,RG,379,U,U,N,2,S,"Drumming, seaqualized to 100 ft",
16065,03JUN17:10:58:39,06/03/2017,10:58:39,10,58,2017,6,vmt,1,RG,379,U,U,N,2,S,"Drumming, seaqualized to 100 ft",
16065,03JUN17:13:57:01,06/03/2017,13:57:01,13,57,2017,6,vmt,1,RG,379,U,U,N,2,S,"Drumming, seaqualized to 100 ft",
16065,04JUN17:07:47:44,06/04/2017,7:47:44,7,47,2017,6,vmt,1,RG,379,U,U,N,2,S,"Drumming, seaqualized to 100 ft",
16065,04JUN17:07:50:26,06/04/2017,7:50:26,7,50,2017,6,vmt,1,RG,379,U,U,N,2,S,"Drumming, seaqualized to 100 ft",
16065,04JUN17:09:47:13,06/04/2017,9:47:13,9,47,2017,6,vmt,1,RG,379,U,U,N,2,S,"Drumming, seaqualized to 100 ft",
16065,04JUN17:09:54:59,06/04/2017,9:54:59,9,54,2017,6,vmt,1,RG,379,U,U,N,2,S,"Drumming, seaqualized to 100 ft",
16065,04JUN17:10:03:04,06/04/2017,10:03:04,10,3,2017,6,vmt,1,RG,379,U,U,N,2,S,"Drumming, seaqualized to 100 ft",
16065,04JUN17:10:10:55,06/04/2017,10:10:55,10,10,2017,6,vmt,1,RG,379,U,U,N,2,S,"Drumming, seaqualized to 100 ft",
16065,04JUN17:10:12:24,06/04/2017,10:12:24,10,12,2017,6,vmt,1,RG,379,U,U,N,2,S,"Drumming, seaqualized to 100 ft",
16065,05JUN17:06:12:56,06/05/2017,6:12:56,6,12,2017,6,vmt,1,RG,379,U,U,N,2,S,"Drumming, seaqualized to 100 ft",
16065,05JUN17:06:21:56,06/05/2017,6:21:56,6,21,2017,6,vmt,1,RG,379,U,U,N,2,S,"Drumming, seaqualized to 100 ft",
16065,05JUN17:06:32:46,06/05/2017,6:32:46,6,32,2017,6,vmt,1,RG,379,U,U,N,2,S,"Drumming, seaqualized to 100 ft",
16065,05JUN17:06:34:15,06/05/2017,6:34:15,6,34,2017,6,vmt,1,RG,379,U,U,N,2,S,"Drumming, seaqualized to 100 ft",
16065,05JUN17:06:38:47,06/05/2017,6:38:47,6,38,2017,6,vmt,1,RG,379,U,U,N,2,S,"Drumming, seaqualized to 100 ft",
16065,05JUN17:06:41:01,06/05/2017,6:41:01,6,41,2017,6,vmt,1,RG,379,U,U,N,2,S,"Drumming, seaqualized to 100 ft",
16065,05JUN17:06:42:25,06/05/2017,6:42:25,6,42,2017,6,vmt,1,RG,379,U,U,N,2,S,"Drumming, seaqualized to 100 ft",
16065,05JUN17:06:48:02,06/05/2017,6:48:02,6,48,2017,6,vmt,1,RG,379,U,U,N,2,S,"Drumming, seaqualized to 100 ft",
16069,19MAY17:15:30:21,05/19/2017,15:30:21,15,30,2017,5,imp,1,RG,709,U,F,Y,3,S,"Feisty in cradle, drumming. Seaqualized to 100 ft. Catheter sample",
16069,19MAY17:15:38:58,05/19/2017,15:38:58,15,38,2017,5,vmt,1,RG,709,U,F,Y,3,S,"Feisty in cradle, drumming. Seaqualized to 100 ft. Catheter sample",
16069,19MAY17:15:41:30,05/19/2017,15:41:30,15,41,2017,5,vmt,1,RG,709,U,F,Y,3,S,"Feisty in cradle, drumming. Seaqualized to 100 ft. Catheter sample",
16069,04JUN17:15:52:02,06/04/2017,15:52:02,15,52,2017,6,vmt,1,RG,709,U,F,Y,3,S,"Feisty in cradle, drumming. Seaqualized to 100 ft. Catheter sample",
16070,19MAY17:15:35:33,05/19/2017,15:35:33,15,35,2017,5,imp,1,RG,706,U,U,N,2,S,seaqualzed to 100 ft,
16070,04JUN17:15:23:10,06/04/2017,15:23:10,15,23,2017,6,vmt,1,RG,706,U,U,N,2,S,seaqualzed to 100 ft,
16071,19MAY17:15:19:27,05/19/2017,15:19:27,15,19,2017,5,imp,1,RG,511,U,U,N,,S,"On surface waiting for surgery started later. Didn't see release on camera, may have popped off at 50 ft instead of 100 ft. No drumming. Confirmed it was set to 50 ft, missed release on live feed",
16071,19MAY17:15:29:26,05/19/2017,15:29:26,15,29,2017,5,vmt,1,RG,511,U,U,N,,S,"On surface waiting for surgery started later. Didn't see release on camera, may have popped off at 50 ft instead of 100 ft. No drumming. Confirmed it was set to 50 ft, missed release on live feed",
16071,19MAY17:15:32:11,05/19/2017,15:32:11,15,32,2017,5,vmt,1,RG,511,U,U,N,,S,"On surface waiting for surgery started later. Didn't see release on camera, may have popped off at 50 ft instead of 100 ft. No drumming. Confirmed it was set to 50 ft, missed release on live feed",
16071,19MAY17:15:34:35,05/19/2017,15:34:35,15,34,2017,5,vmt,1,RG,511,U,U,N,,S,"On surface waiting for surgery started later. Didn't see release on camera, may have popped off at 50 ft instead of 100 ft. No drumming. Confirmed it was set to 50 ft, missed release on live feed",
16071,19MAY17:15:40:09,05/19/2017,15:40:09,15,40,2017,5,vmt,1,RG,511,U,U,N,,S,"On surface waiting for surgery started later. Didn't see release on camera, may have popped off at 50 ft instead of 100 ft. No drumming. Confirmed it was set to 50 ft, missed release on live feed",
16071,19MAY17:15:42:10,05/19/2017,15:42:10,15,42,2017,5,vmt,1,RG,511,U,U,N,,S,"On surface waiting for surgery started later. Didn't see release on camera, may have popped off at 50 ft instead of 100 ft. No drumming. Confirmed it was set to 50 ft, missed release on live feed",
16071,02JUN17:23:48:12,06/02/2017,23:48:12,23,48,2017,6,vmt,1,RG,511,U,U,N,,S,"On surface waiting for surgery started later. Didn't see release on camera, may have popped off at 50 ft instead of 100 ft. No drumming. Confirmed it was set to 50 ft, missed release on live feed",
16071,02JUN17:23:55:40,06/02/2017,23:55:40,23,55,2017,6,vmt,1,RG,511,U,U,N,,S,"On surface waiting for surgery started later. Didn't see release on camera, may have popped off at 50 ft instead of 100 ft. No drumming. Confirmed it was set to 50 ft, missed release on live feed",
16071,04JUN17:15:31:04,06/04/2017,15:31:04,15,31,2017,6,vmt,1,RG,511,U,U,N,,S,"On surface waiting for surgery started later. Didn't see release on camera, may have popped off at 50 ft instead of 100 ft. No drumming. Confirmed it was set to 50 ft, missed release on live feed",
16071,04JUN17:15:48:09,06/04/2017,15:48:09,15,48,2017,6,vmt,1,RG,511,U,U,N,,S,"On surface waiting for surgery started later. Didn't see release on camera, may have popped off at 50 ft instead of 100 ft. No drumming. Confirmed it was set to 50 ft, missed release on live feed",
16075,19MAY17:18:36:39,05/19/2017,18:36:39,18,36,2017,5,imp,1,RG,461,U,U,A,2,S,pore too small to catheter. Seaqualized to 100 ft.,
16075,19MAY17:18:42:10,05/19/2017,18:42:10,18,42,2017,5,vmt,1,RG,461,U,U,A,2,S,pore too small to catheter. Seaqualized to 100 ft.,
16075,19MAY17:18:44:24,05/19/2017,18:44:24,18,44,2017,5,vmt,1,RG,461,U,U,A,2,S,pore too small to catheter. Seaqualized to 100 ft.,
16075,19MAY17:18:45:47,05/19/2017,18:45:47,18,45,2017,5,vmt,1,RG,461,U,U,A,2,S,pore too small to catheter. Seaqualized to 100 ft.,
16075,19MAY17:18:47:28,05/19/2017,18:47:28,18,47,2017,5,vmt,1,RG,461,U,U,A,2,S,pore too small to catheter. Seaqualized to 100 ft.,
16075,19MAY17:18:51:07,05/19/2017,18:51:07,18,51,2017,5,vmt,1,RG,461,U,U,A,2,S,pore too small to catheter. Seaqualized to 100 ft.,
16075,19MAY17:18:58:55,05/19/2017,18:58:55,18,58,2017,5,vmt,1,RG,461,U,U,A,2,S,pore too small to catheter. Seaqualized to 100 ft.,
16075,19MAY17:19:02:40,05/19/2017,19:02:40,19,2,2017,5,vmt,1,RG,461,U,U,A,2,S,pore too small to catheter. Seaqualized to 100 ft.,
16075,19MAY17:22:24:53,05/19/2017,22:24:53,22,24,2017,5,vmt,1,RG,461,U,U,A,2,S,pore too small to catheter. Seaqualized to 100 ft.,
16075,19MAY17:22:36:35,05/19/2017,22:36:35,22,36,2017,5,vmt,1,RG,461,U,U,A,2,S,pore too small to catheter. Seaqualized to 100 ft.,
16075,19MAY17:22:38:24,05/19/2017,22:38:24,22,38,2017,5,vmt,1,RG,461,U,U,A,2,S,pore too small to catheter. Seaqualized to 100 ft.,
16075,03JUN17:21:45:26,06/03/2017,21:45:26,21,45,2017,6,vmt,1,RG,461,U,U,A,2,S,pore too small to catheter. Seaqualized to 100 ft.,
16075,03JUN17:21:58:27,06/03/2017,21:58:27,21,58,2017,6,vmt,1,RG,461,U,U,A,2,S,pore too small to catheter. Seaqualized to 100 ft.,
16075,03JUN17:22:00:31,06/03/2017,22:00:31,22,0,2017,6,vmt,1,RG,461,U,U,A,2,S,pore too small to catheter. Seaqualized to 100 ft.,
16075,03JUN17:22:06:31,06/03/2017,22:06:31,22,6,2017,6,vmt,1,RG,461,U,U,A,2,S,pore too small to catheter. Seaqualized to 100 ft.,
16075,04JUN17:01:16:18,06/04/2017,1:16:18,1,16,2017,6,vmt,1,RG,461,U,U,A,2,S,pore too small to catheter. Seaqualized to 100 ft.,
